RMS,Peak,Mean,STD,Energy,Label
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.80362,1.4058,0.025808,0.80361,646.456,Swell
0.86732,1.6391,0.040643,0.8668,752.999,Swell
0.61914,1,-0.033441,0.61855,383.7226,Sag
0.761,1.2375,0.015102,0.76123,579.7039,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.63568,1,-0.025262,0.6355,404.497,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.60951,1,-0.039306,0.60855,371.8785,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.84326,1.5531,0.03517,0.84295,711.7956,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.84046,1.5429,0.034523,0.84017,707.0718,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.63936,1,-0.023644,0.63925,409.1961,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.60542,1,-0.042248,0.60424,366.8985,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.85928,1.6106,0.03883,0.85883,739.1015,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.84216,1.5491,0.034918,0.84186,709.9484,Swell
0.62559,1,-0.030041,0.62518,391.7559,Sag
0.62819,1,-0.028756,0.62784,395.0153,Sag
0.79821,1.3851,0.024489,0.79823,637.7705,Swell
0.61532,1,-0.035631,0.6146,379.0004,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.87142,1.6535,0.04156,0.87086,760.1259,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.70675,1,1.0433e-18,0.70711,500,Normal
0.82868,1.4998,0.031783,0.82849,687.4013,Swell
0.79397,1.3688,0.023451,0.79402,631.0254,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.63082,1,-0.027493,0.63054,398.337,Sag
0.79124,1.3581,0.022775,0.79131,626.6832,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.61002,1,-0.038967,0.60908,372.4941,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.70675,1,1.0433e-18,0.70711,500,Normal
0.63996,1,-0.023389,0.63985,409.9542,Sag
0.8763,1.6707,0.042649,0.8757,768.6656,Swell
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.62291,1,-0.031414,0.62243,388.4071,Sag
0.70675,1,1.0433e-18,0.70711,500,Normal
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.6219,1,-0.031946,0.62139,387.1476,Sag
0.8282,1.498,0.031669,0.828,686.5947,Swell
0.63342,1,-0.026289,0.63319,401.6172,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
0.62378,1,-0.030965,0.62332,389.486,Sag
0.76204,1.2418,0.015374,0.76227,581.2915,Swell
0.70675,1,1.0433e-18,0.70711,500,Normal
0.61392,1,-0.036477,0.61314,377.2725,Sag
0.75129,0.9,-5.073e-18,0.75166,565,Harmonic
